Photon energy (eV),n,
0.1575,0.5456,
0.1562,0.4677,
0.155,0.4113,
0.1537,0.3931,
0.1525,0.402,
0.1513,0.4329,
0.15,0.453,
0.1488,0.46,
0.1475,0.473,
0.1463,0.4746,
0.1451,0.4656,
0.1438,0.4563,
0.1426,0.4309,
0.1413,0.3915,
0.1401,0.3563,
0.1389,0.3705,
0.1376,0.5846,
0.1364,1.043,
0.1351,1.616,
0.1333,2.25,
0.1302,2.76,
0.1271,2.839,
0.124,2.694,
0.1209,2.448,
0.1178,2.224,
0.1147,2.038,
0.1116,1.869,
0.1091,1.784,
0.1066,1.69,
0.1054,1.652,
0.1041,1.619,
0.1029,1.615,
0.1017,1.658,
0.1004,1.701,
0.09919,1.753,
0.09795,1.789,
0.09671,1.811,
0.09547,1.81,
0.09423,1.779,
0.09299,1.756,
0.08989,1.698,
0.08679,1.643,
0.08369,1.598,
0.08059,1.555,
0.07749,1.502,
0.07439,1.45,
0.07191,1.401,
0.06943,1.337,
0.06695,1.235,
0.06534,1.161,
0.06447,1.05,
0.06323,0.8857,
0.06199,0.6616,
